Unnamed: 0,tmdbId,title,genres,overview
0,150540,,Adventure|Animation|Children|Comedy|Drama|Fantasy,
8,177572,,Action|Animation|Comedy,
18,308266,,Comedy,
19,212778,,Comedy,
27,295699,,Comedy,
29,260514,,Adventure|Animation|Comedy,
32,333675,,Adventure|Comedy|Crime|Thriller,
36,487558,,Comedy|Crime|Drama,
38,263109,,Adventure|Animation|Children|Comedy,
42,169644,,Comedy|Horror,
44,109431,,Comedy|Crime,
45,140823,,Comedy|Drama,
51,371638,,Comedy|Drama,
53,383498,,Action|Comedy|Sci-Fi,
59,120467,,Comedy|Drama,
63,246741,,Comedy|Horror,
67,269149,,Action|Adventure|Animation|Children|Comedy,
69,127380,,Adventure|Animation|Comedy,
71,172385,,Adventure|Animation|Children|Comedy,
75,293970,,Comedy|Horror,
78,207703,,Action|Adventure|Comedy|Crime,
86,194662,,Comedy|Drama,
92,405177,,Comedy|Drama,
96,394499,,Adventure|Comedy,
107,254320,,Comedy|Romance|Sci-Fi,
111,399174,,Animation|Comedy,
119,298312,,Comedy|Horror,
120,180296,,Comedy|Romance,
124,328111,,Animation|Comedy,
128,270010,,Comedy|Drama,
129,233063,,Comedy,
136,505175,,Comedy|Romance,
137,332835,,Comedy|Drama,
138,84340,,Comedy|Drama,
140,208134,,Comedy,
141,343668,,Action|Adventure|Comedy,
144,332210,,Animation|Children|Comedy,
146,257211,,Comedy,
149,345914,,Comedy,
158,291270,,Animation|Comedy|Fantasy,
167,556803,,Comedy|Romance,
168,157832,,Comedy|Drama,
171,109445,,Adventure|Animation|Comedy|Fantasy|Musical|Romance,
176,191294,,Children|Comedy|Drama,
182,234200,,Comedy|Drama,
191,109513,,Action|Comedy|Romance,
192,256591,,Comedy|Crime|Drama|Romance,
196,459992,,Comedy,
202,228967,,Action|Comedy,
211,159824,,Animation|Comedy,
213,187017,,Action|Comedy|Crime,
214,353070,,Comedy,
217,210860,,Adventure|Comedy|Mystery|Romance,
228,251516,,Action|Comedy|Fantasy|Sci-Fi,
230,122081,,Comedy|Crime|Drama,
233,399170,,Comedy,
244,322240,,Comedy,
245,290762,,Comedy|Drama|Romance,
266,100042,,Comedy,
267,265195,,Comedy|Drama|Thriller,
271,445571,,Action|Comedy|Crime|Horror,
272,315664,,Comedy|Drama,
273,238713,,Action|Comedy|Crime,
286,228161,,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,
288,213121,,Animation|Children|Comedy,
300,252822,,Action|Comedy|Crime|Thriller,
302,177494,,Comedy|Crime|Drama,
316,573910,,Comedy,
329,218836,,Adventure|Animation|Comedy,
342,429197,,Comedy|Drama,
344,112205,,Action|Comedy|Crime,
352,584962,,Comedy,
354,121986,,Comedy|Drama,
360,262551,,Comedy,
370,437586,,Comedy|Drama,
375,140420,,Animation|Comedy|Romance,
391,454033,,Comedy|Drama,
400,490132,,Comedy|Drama,
401,136795,,Action|Comedy|Crime,
403,466272,,Comedy|Drama,
406,279641,,Comedy|War,
409,211672,,Adventure|Animation|Children|Comedy,
411,257091,,Comedy|Crime,
412,277834,,Adventure|Animation|Children|Comedy|Fantasy,
418,257344,,Action|Comedy|Sci-Fi,
422,313369,,Comedy|Drama|Romance,
424,308531,,Action|Adventure|Comedy,
436,193610,,Comedy|Romance,
444,382591,,Comedy|Drama,
450,420814,,Adventure|Animation|Comedy,
451,409536,,Comedy|Drama,
453,324849,,Action|Animation|Comedy,
456,308024,,Comedy,
488,342521,,Comedy,
494,325133,,Comedy,
495,491418,,Comedy,
506,284537,,Comedy|Drama,
526,470932,,Comedy|Drama,
533,224141,,Children|Comedy|Fantasy|Musical,
574,274479,,Comedy|Drama,
597,339397,,Comedy|Drama|Romance,
608,458253,,Adventure|Animation|Children|Comedy|Fantasy,
619,402900,,Action|Comedy|Crime|Thriller,
621,209263,,Comedy|Drama|Romance,
622,246403,,Comedy|Drama|Horror,
625,496243,,Comedy|Drama,
643,391713,,Comedy,
646,181533,,Adventure|Children|Comedy|Fantasy,
654,301348,,Comedy,
661,188161,,Comedy|Western,
674,416477,,Comedy|Romance,
679,156700,,Comedy,
696,565184,,Comedy|Documentary,
703,83382,,Comedy,
711,400579,,Comedy,
725,136403,,Comedy,
730,419709,,Comedy|Drama,
743,463116,,Adventure|Animation|Comedy,
745,363088,,Action|Adventure|Comedy|Fantasy|Sci-Fi,
746,424781,,Comedy|Fantasy|Sci-Fi,
748,324852,,Adventure|Animation|Children|Comedy,
749,348678,,Comedy|Drama,
751,315049,,Comedy,
760,433310,,Comedy,
761,346648,,Adventure|Animation|Children|Comedy,
763,417870,,Comedy,
785,449674,,Comedy,
795,271718,,Comedy|Romance,
796,376659,,Comedy,
836,321594,,Comedy,
851,335797,,Animation|Children|Comedy,
862,291805,,Action|Comedy|Thriller,
878,260001,,Comedy|Romance,
892,474335,,Comedy,
907,179144,,Comedy|Drama,
919,362155,,Comedy|Romance,
928,293299,,Animation|Children|Comedy|Drama|Romance,
946,227159,,Comedy|Crime,
948,333385,,Action|Comedy|Romance,
953,432959,,Comedy,
955,187596,,Comedy,
986,313867,,Comedy,
991,311615,,Action|Adventure|Comedy,
1000,254470,,Comedy,
1003,296100,,Comedy,
1006,288036,,Comedy|Drama|Romance,
1010,437557,,Comedy,
1024,289727,,Comedy|Romance,
1045,227973,,Adventure|Animation|Children|Comedy,
1048,175291,,Comedy|Thriller,
1059,309245,,Comedy,
1073,209403,,Comedy,
1088,419680,,Comedy|Drama,
1091,253065,,Comedy|Fantasy,
1092,296288,,Comedy,
1107,174348,,Comedy,
1140,79723,,Action|Comedy,
1150,449176,,Comedy|Drama,
1155,320006,,Comedy|Drama,
1164,195589,,Comedy,
1184,444513,,Comedy,
1216,537996,,Comedy|Drama|Western,
1223,302688,,Comedy,
1224,109418,,Comedy,
1241,500664,,Action|Comedy|Horror|Sci-Fi|Thriller,
1245,487297,,Comedy|Fantasy|Romance,
1273,113148,,Comedy|Drama,
1275,308084,,Comedy|Drama,
1277,455980,,Comedy,
1284,396398,,Comedy,
1312,284296,,Comedy,
1313,458423,,Comedy|Romance,
1323,286554,,Comedy|Romance,
1343,185744,,Comedy,
1345,403431,,Comedy,
1350,256961,,Action|Comedy|Crime,
1354,394741,,Comedy|Drama,
1360,458344,,Comedy|Drama,
1364,540901,,Comedy|Crime|Drama,
1368,254472,,Comedy|Horror,
1369,367735,,Comedy,
1396,463272,,Action|Adventure|Children|Comedy,
1401,133790,,Comedy,
1409,280690,,Action|Comedy|Romance,
1411,388791,,Comedy,
1413,353570,,Comedy,
1450,434355,,Action|Comedy,
1461,318917,,Comedy,
1500,400155,,Animation|Children|Comedy|Fantasy,
1506,417026,,Comedy,
1519,399417,,Comedy|Drama|Romance,
1527,316067,,Comedy|Documentary,
1553,248774,,Comedy|Romance,
1556,529531,,Comedy,
1559,403569,,Comedy,
1563,111969,,Comedy|Drama|Romance,
1568,138122,,Comedy|Romance,
1589,369192,,Comedy,
1602,341012,,Comedy,
1617,466282,,Comedy|Romance,
1666,160068,,Comedy|Drama,
1672,326665,,Comedy,
1677,332340,,Comedy|Romance,
1682,191562,,Comedy|Horror,
1688,490405,,Comedy,
1710,625128,,Comedy,
